Time;PlayerName;P1;P2;P3;P4
5.25;MPIB3;0.008487654;0.002845293;0;0.000626929
5.25;MPIB1;0;0;0.01051312;0
5.3;MPIB2;0;0;0;0.007571374
5.3;MPIB4;0.0005304784;0.004292052;0.001591435;0
5.3;MPIB3;0.00935571;0.002604167;0;0.003472222
5.3;MPIB1;0;0;0.01046489;0
5.35;MPIB2;0;0;0;0.007571374
5.35;MPIB4;0.0005787037;0.004195602;0.001494985;0
5.35;MPIB3;0.009259259;0.002218364;0;0.003279321
5.35;MPIB1;0;0;0.009259259;0
5.4;MPIB2;0;0;0;0.007523148
5.4;MPIB4;0.000626929;0.004292052;0.001302083;0
5.4;MPIB3;0.009259259;0.002218364;0;0.003231096
5.4;MPIB1;0;0;0.009162809;0
5.45;MPIB2;0;0;0;0.007619599
5.45;MPIB4;0.0008198302;0.004581404;0.001253858;0
5.45;MPIB3;0.009259259;0.002218364;0;0.003134645
5.45;MPIB1;0;0;0.009259259;0
5.5;MPIB2;0;0;0;0.007619599
5.5;MPIB4;0.0006751543;0.00472608;0.001302083;0
5.5;MPIB3;0.01171875;0.002604167;0;0.002604167
5.5;MPIB1;0;0;0.009259259;0
5.55;MPIB2;0;0;0;0.007764275
5.55;MPIB4;0.0007716049;0.004436729;0.001446759;0
5.55;MPIB3;0;0.002459491;0;0.001494985
5.55;MPIB1;0;0;0.008391203;0
5.6;MPIB2;0;0;0;0.0078125
5.6;MPIB4;0.0007233796;0.004533179;0.001350309;0
5.6;MPIB3;0;0.002893518;0;0.001205633
5.6;MPIB1;0;0;0.007667824;0
5.65;MPIB2;0;0;0;0.007571374
5.65;MPIB4;0.0007233796;0.005208333;0.001446759;0
5.65;MPIB3;0;0.002604167;0;0.001060957
5.65;MPIB1;0;0;0.007667824;0
5.7;MPIB2;0;0;0;0.007523148
5.7;MPIB4;0.0005304784;0.005111883;0.001494985;0
5.7;MPIB3;0;0.002604167;0;0.001060957
5.7;MPIB1;0;0;0.007667824;0
5.75;MPIB2;0;0;0;0.007040895
5.75;MPIB4;0.0006751543;0.00472608;0.001687886;0
5.75;MPIB3;0;0.002555941;0;0.001060957
5.75;MPIB1;0;0;0.0078125;0
5.8;MPIB2;0;0;0;0.006799769
5.8;MPIB4;0.0005787037;0.005015432;0.001736111;0
5.8;MPIB3;0;0.002845293;0;0.001446759
5.8;MPIB1;0;0;0.007860726;0
5.85;MPIB2;0;0;0;0.006606867
5.85;MPIB4;0.0005787037;0.004918981;0.001832562;0
5.85;MPIB3;0;0.002652392;0;0.001302083
5.85;MPIB1;0;0;0.007908951;0
5.9;MPIB2;0;0;0;0.006462191
5.9;MPIB4;0.000626929;0.005111883;0.001591435;0
5.9;MPIB3;0;0.002604167;0;0.00154321
5.9;MPIB1;0;0;0.0078125;0
5.95;MPIB2;0;0;0;0.006317515
5.95;MPIB4;0.0005787037;0.004870756;0.001591435;0
5.95;MPIB3;0;0.003038194;0;0.001446759
5.95;MPIB1;0;0;0.007282021;0
6;MPIB2;0;0;0;0.00617284
6;MPIB4;0.0006751543;0.004388503;0.001687886;0
6;MPIB3;0;0.003520448;0;0.0009162808
6;MPIB1;0;0;0.006655093;0
6.05;MPIB2;0;0;0;0.006076389
6.05;MPIB4;0.0004822531;0.004002701;0.001784336;0
