,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
119,19,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2503673029,599,False,11,11,11,0.0,44.0,0.19031719532554256,0.19031719532554256,0.19031719532554256
120,20,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,806428419,100,False,2,2,2,0.0,7.0,0.15,0.15,0.15
121,20,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,806428419,200,False,2,2,2,0.0,15.0,0.18,0.18,0.18
122,20,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,806428419,300,False,6,6,6,0.0,22.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
123,20,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,806428419,400,False,8,8,8,0.0,30.0,0.175,0.175,0.175
124,20,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,806428419,500,False,8,8,8,0.0,38.0,0.166,0.166,0.166
125,20,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,806428419,599,False,8,8,8,0.0,45.0,0.16026711185308848,0.16026711185308848,0.16026711185308848
126,21,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3705871459,100,False,2,2,2,0.0,7.0,0.18,0.18,0.18
127,21,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3705871459,200,False,6,6,6,0.0,15.0,0.18,0.18,0.18
128,21,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3705871459,300,False,8,8,8,0.0,21.0,0.20666666666666667,0.20666666666666667,0.20666666666666667
129,21,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3705871459,400,False,9,9,9,0.0,29.0,0.195,0.195,0.195
130,21,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3705871459,500,False,9,9,9,0.0,37.0,0.184,0.184,0.184
131,21,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3705871459,599,False,9,9,9,0.0,44.0,0.18196994991652754,0.18196994991652754,0.18196994991652754
132,22,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2339914512,100,False,3,3,3,0.0,7.0,0.15,0.15,0.15
133,22,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2339914512,200,False,4,4,4,0.0,15.0,0.18,0.18,0.18
134,22,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2339914512,300,False,5,5,5,0.0,21.0,0.21333333333333335,0.21333333333333335,0.21333333333333335
135,22,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2339914512,400,False,9,9,9,0.0,28.0,0.2075,0.2075,0.2075
136,22,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2339914512,500,False,12,12,12,0.0,36.0,0.202,0.202,0.202
137,22,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,2339914512,599,False,13,13,13,0.0,44.0,0.19365609348914858,0.19365609348914858,0.19365609348914858
138,23,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,2466805077,3213891623,100,False,1,1,1,0.0,7.0,0.22,0.22,0.22
